"item_code","item","unit","item_group","item_category","item_subcategory"
1091,"MINYAK MASAK SEBATIAN CAP HELANG","1kg","BARANGAN BERBUNGKUS","MINYAK DAN LEMAK","MINYAK MASAK"
1092,"MINYAK MASAK SEBATIAN CAP NEPTUNE","1kg","BARANGAN BERBUNGKUS","MINYAK DAN LEMAK","MINYAK MASAK"
1093,"MINYAK MASAK SEBATIAN CAP PISAU","1kg","BARANGAN BERBUNGKUS","MINYAK DAN LEMAK","MINYAK MASAK"
1094,"MINYAK MASAK TULEN CAP BURUH","1kg","BARANGAN BERBUNGKUS","MINYAK DAN LEMAK","MINYAK MASAK"
1095,"MINYAK MASAK TULEN CAP VESAWIT","5 kg","BARANGAN BERBUNGKUS","MINYAK DAN LEMAK","MINYAK MASAK"
1097,"SOS CILI MAGGI","500 g","BARANGAN BERBUNGKUS","KICAP DAN SOS","SOS CILI"
1100,"MINYAK MASAK TULEN CAP SERI MURNI","1kg","BARANGAN BERBUNGKUS","MINYAK DAN LEMAK","MINYAK MASAK"
1101,"MINYAK MASAK TULEN CAP SERI MURNI","2 kg","BARANGAN BERBUNGKUS","MINYAK DAN LEMAK","MINYAK MASAK"
1105,"SUSU ANLENE ACTIFIT 3X COKLAT","600 g","BARANGAN BERBUNGKUS","KRIMER DAN SUSU TEPUNG","SUSU TEPUNG"
1109,"TELUR AYAM GRED A","30 biji","BARANGAN SEGAR","TELUR","TELUR AYAM"
1110,"TELUR AYAM GRED B","30 biji","BARANGAN SEGAR","TELUR","TELUR AYAM"
1111,"TELUR AYAM GRED C","30 biji","BARANGAN SEGAR","TELUR","TELUR AYAM"
1114,"SOS TIRAM KIMBALL","510 g","BARANGAN BERBUNGKUS","KICAP DAN SOS","SOS TIRAM"
1115,"KICAP LEMAK MASIN CAP KIPAS UDANG","345ml","BARANGAN BERBUNGKUS","KICAP DAN SOS","KICAP"
1116,"SOS TIRAM NONA","510 g","BARANGAN BERBUNGKUS","KICAP DAN SOS","SOS TIRAM"
1117,"SOS TIRAM ADABI","510 g","BARANGAN BERBUNGKUS","KICAP DAN SOS","SOS TIRAM"
1125,"SERBUK CILI KIJANG","250 g","BARANGAN BERBUNGKUS","REMPAH RATUS (BERBUNGKUS)","SERBUK CILI"
1127,"AYAM BELANDA IMPORT","1kg","BARANGAN SEGAR","AYAM","AYAM BELANDA"
1128,"LADA BENGGALA HIJAU (CAPSICUM)","1kg","BARANGAN SEGAR","SAYUR-SAYURAN","LADA BENGGALA"
